,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SNHG25,1.34258E-32,-0.614135386,0.068,0.199,3.7552E-28
PODXL,1.56548E-32,-0.663555439,0.084,0.222,4.37866E-28
EVA1C,1.70592E-32,0.710749637,0.475,0.246,4.77146E-28
MAF,2.16513E-32,-0.919726203,0.104,0.244,6.05588E-28
SLFNL1-AS1,2.16818E-32,0.541052795,0.199,0.043,6.0644E-28
PNISR,2.22869E-32,-0.70017792,0.716,0.755,6.23365E-28
CAP2,2.29076E-32,0.550109801,0.405,0.186,6.40725E-28
GABBR1,2.30334E-32,0.372685782,0.29,0.094,6.44246E-28
PLCG2,2.41817E-32,-0.739596086,0.119,0.268,6.76363E-28
RPS11,2.54746E-32,-0.380510497,0.031,0.14,7.12525E-28
RALYL,2.6893E-32,-0.742871062,0.474,0.635,7.52197E-28
PLEKHA6,3.22962E-32,-0.837606735,0.315,0.471,9.03325E-28
CCN1,3.25286E-32,0.585332741,0.281,0.093,9.09826E-28
PLEKHA4,3.584E-32,0.407665697,0.199,0.04,1.00245E-27
MAP1B,3.93951E-32,0.574338644,0.213,0.05,1.10188E-27
RPL15,3.95323E-32,-0.320422896,0.021,0.118,1.10572E-27
