,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SEPTIN6,2.75531E-91,-0.361288467,0.089,0.215,7.70661E-87
AASS,2.84787E-91,-0.273042911,0.198,0.385,7.96548E-87
ACVR1,3.43202E-91,-0.352237413,0.16,0.323,9.59937E-87
SBNO2,4.35895E-91,0.745680863,0.255,0.108,1.2192E-86
SLPI,8.85136E-91,0.407994208,0.104,0.002,2.47573E-86
ST13,9.8329E-91,-0.266326875,0.09,0.219,2.75026E-86
KCNT2,1.15098E-90,0.580740861,0.144,0.024,3.2193E-86
PIK3R1,1.23127E-90,-0.274702691,0.126,0.279,3.44385E-86
SLC2A11,1.64413E-90,-0.259746887,0.079,0.203,4.59863E-86
SCO2,1.76903E-90,0.54055694,0.123,0.012,4.94799E-86
TNC,1.99457E-90,0.647944113,0.124,0.012,5.57883E-86
SAFB2,2.29693E-90,-0.325040763,0.202,0.385,6.42452E-86
SLC25A30,2.81957E-90,-0.321060031,0.054,0.158,7.88633E-86
SLC25A16,2.96233E-90,-0.304165425,0.204,0.387,8.28563E-86
RNF145,2.97037E-90,0.755869625,0.321,0.167,8.30813E-86
MAP4K4,6.53429E-90,0.780841479,0.445,0.292,1.82764E-85
AHCYL1,7.10943E-90,-0.282791626,0.193,0.374,1.98851E-85
ANO10,7.29315E-90,-0.424840188,0.334,0.538,2.03989E-85
OXNAD1,8.19729E-90,-0.364383939,0.169,0.334,2.29278E-85
AC023282.1,1.15872E-89,-0.515538531,0.122,0.262,3.24095E-85
LINC01004,2.7376E-89,-0.395393269,0.223,0.398,7.65707E-85
LDLR,8.05305E-89,-0.418908407,0.06,0.168,2.25244E-84
EPM2A,9.42465E-89,-0.343160119,0.102,0.236,2.63608E-84
N4BP2L2,1.24592E-88,-0.385789952,0.68,0.842,3.48484E-84
CRYBG1,2.27065E-88,-0.529164143,0.484,0.664,6.35101E-84
UST,2.29325E-88,-0.42268251,0.092,0.218,6.41423E-84
ENTPD5,2.29494E-88,-0.250638403,0.074,0.193,6.41895E-84
UNC5CL,2.77019E-88,0.540704598,0.135,0.021,7.74822E-84
NEDD4L,2.91512E-88,-0.517554715,0.741,0.88,8.15358E-84
LRRC28,4.60805E-88,-0.381302431,0.218,0.397,1.28887E-83
ANXA1,8.25637E-88,0.823474947,0.126,0.015,2.30931E-83
CACNA2D3,3.82864E-87,-0.466253459,0.147,0.299,1.07087E-82
SLC4A7,4.58259E-87,0.782201703,0.335,0.188,1.28175E-82
YBX3,5.27548E-87,0.735304906,0.534,0.402,1.47555E-82
GALNT14,9.23508E-87,-0.415408244,0.228,0.405,2.58305E-82
MRPS31,9.88761E-87,-0.322381891,0.12,0.261,2.76557E-82
PRKD1,2.05662E-86,0.640347465,0.689,0.61,5.75237E-82
RBM14,2.1199E-86,-0.258850928,0.073,0.189,5.92937E-82
CRIP1,2.97348E-86,0.426977322,0.111,0.008,8.31681E-82
RGL1,3.00295E-86,-0.275921419,0.076,0.193,8.39925E-82
STOX1,3.32295E-86,-0.256248034,0.035,0.122,9.29429E-82
RFX2,4.70539E-86,0.849514581,0.268,0.122,1.3161E-81
SLC4A4,5.46826E-86,-0.46594209,0.353,0.57,1.52947E-81
FYB2,7.23609E-86,0.674767641,0.564,0.42,2.02394E-81
KCNQ1,7.29698E-86,-0.367451146,0.389,0.598,2.04096E-81
SAT1,7.97426E-86,-0.345108754,0.332,0.543,2.2304E-81
GLIS3,9.18775E-86,0.404196807,0.953,0.953,2.56981E-81
CIRBP,1.06033E-85,-0.278706858,0.223,0.41,2.96575E-81
TPST2,2.88028E-85,-0.276228043,0.088,0.214,8.05614E-81
ST6GALNAC3,4.3499E-85,-0.293850811,0.085,0.206,1.21667E-80
SQSTM1,6.30891E-85,-0.720203098,0.147,0.288,1.7646E-80
SLC25A12,6.73626E-85,-0.357537054,0.251,0.438,1.88413E-80
STAC2,8.35028E-85,0.712394859,0.109,0.007,2.33557E-80
CISD1,1.882E-84,-0.271823911,0.087,0.211,5.26396E-80
RBMX,1.99207E-84,-0.380293837,0.276,0.458,5.57183E-80
RERGL,2.5062E-84,-0.258625184,0.036,0.124,7.00985E-80
PIGQ,2.73045E-84,-0.426513569,0.133,0.273,7.63708E-80
RAB27A,3.2235E-84,0.683189654,0.27,0.125,9.01612E-80
MAGED1,3.61036E-84,-0.411479939,0.3,0.489,1.00982E-79
SNHG5,4.83837E-84,-0.261183138,0.055,0.157,1.35329E-79
TAFA1,5.18215E-84,-0.395736124,0.082,0.2,1.44945E-79
AC005225.2,6.34133E-84,-0.274712737,0.038,0.126,1.77367E-79
BCL9,1.0589E-83,-0.342492437,0.137,0.283,2.96174E-79
SHB,1.4927E-83,-0.56994132,0.289,0.458,4.1751E-79
FGD4,1.79543E-83,-0.390308186,0.768,0.897,5.02183E-79
SH3BGRL,1.93252E-83,-0.463621361,0.238,0.404,5.40526E-79
KIFC3,1.99042E-83,-0.316698894,0.379,0.59,5.5672E-79
TBL1XR1,2.07262E-83,0.6197016,0.715,0.638,5.79711E-79
CFAP70,2.66567E-83,-0.311609117,0.188,0.356,7.45587E-79
MSR1,3.47023E-83,-0.484074257,0.317,0.493,9.70624E-79
SHPRH,3.50162E-83,-0.352823621,0.361,0.567,9.79403E-79
