,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,Regulation
267,ANGPTL7,0.527353597,-0.005238673,0.17559693,0.733312225,NA,Not Significant
268,UBIAD1,976.9580663,-0.300908547,0.133575018,0.004817377,0.037804707,Down
269,LOC105376737,0.057957617,0.002179439,0.175776013,0.796839196,NA,Not Significant
270,LOC105376739,0.049983058,-0.001600135,0.175775989,0.858244616,NA,Not Significant
271,LOC105376740,0.049983058,-0.001600135,0.175775989,0.858244616,NA,Not Significant
272,DISP3,4.505081273,-0.043274635,0.180581188,0.182790048,NA,Not Significant
273,LINC01647,0.852610153,0.004547739,0.175519092,0.762003735,NA,Not Significant
274,FBXO2,47.33005639,-0.00487817,0.161977638,0.938745814,0.976870197,Not Significant
275,FBXO44,258.5460982,-0.419645325,0.201816468,0.003621609,0.030480065,Down
276,FBXO6,115.4104617,-0.042276213,0.164182601,0.54354087,0.788712258,Not Significant
277,MAD2L2,863.3094073,-0.04851324,0.096121919,0.544783697,0.789700377,Not Significant
278,DRAXIN,78.95350845,0.008668502,0.152727113,0.912235843,0.966928716,Not Significant
279,AGTRAP,1330.331673,0.018396323,0.087951323,0.813451768,0.92642935,Not Significant
280,C1orf167,1.414261091,0.024513608,0.177760966,0.100649273,NA,Not Significant
281,C1orf167-AS1,0.057957617,0.002179439,0.175776013,0.796839196,NA,Not Significant
282,MTHFR,387.6207985,0.274652576,0.131712513,0.008140797,0.055786886,Not Significant
283,CLCN6,693.4818015,0.00495016,0.098582172,0.965750617,0.986742143,Not Significant
284,NPPA-AS1,40.2777348,-0.009245163,0.155819583,0.90158331,0.962460385,Not Significant
285,NPPA,0.057957617,0.002179439,0.175776013,0.796839196,NA,Not Significant
286,NPPB,137.3394787,-0.056339536,0.161414516,0.479294242,0.74593966,Not Significant
287,RNU5E-1,0.518942939,0.001210488,0.175434116,0.945006961,NA,Not Significant
288,KIAA2013,2935.632862,0.111378714,0.071242323,0.087655649,0.287112597,Not Significant
289,PLOD1,5579.11243,0.038977135,0.078885165,0.54512741,0.790035652,Not Significant
290,MFN2,5822.378152,0.062379205,0.072442476,0.358098972,0.649192427,Not Significant
291,MIIP,871.3678172,-0.099090726,0.091074329,0.206650237,0.480554117,Not Significant
292,MIR6729,0,NA,NA,NA,NA,Not Significant
293,TNFRSF8,72.41929473,-0.082193188,0.17595424,0.287593769,0.582132024,Not Significant
294,MIR7846,0,NA,NA,NA,NA,Not Significant
295,TNFRSF1B,144.6065067,-0.134535977,0.180823761,0.169287732,0.429173715,Not Significant
296,MIR4632,0,NA,NA,NA,NA,Not Significant
297,VPS13D,1397.257092,0.043992252,0.167931362,0.501661886,0.761969416,Not Significant
298,SNORA59A,1.939434683,0.002788913,0.174254393,0.905083082,NA,Not Significant
299,LINC02766,0,NA,NA,NA,NA,Not Significant
300,DHRS3,63.99226129,-0.036412363,0.169813678,0.522158796,0.775196511,Not Significant
301,MIR6730,0,NA,NA,NA,NA,Not Significant
302,AADACL4,0,NA,NA,NA,NA,Not Significant
303,AADACL3,0,NA,NA,NA,NA,Not Significant
304,LOC124904811,0,NA,NA,NA,NA,Not Significant
305,CFAP107,0.057957617,0.002179439,0.175776013,0.796839196,NA,Not Significant
306,PRAMEF12,0.157317671,-0.001559558,0.175779375,0.876842441,NA,Not Significant
307,PRAMEF1,0,NA,NA,NA,NA,Not Significant
308,LINC01784,0,NA,NA,NA,NA,Not Significant
309,PRAMEF11,0,NA,NA,NA,NA,Not Significant
310,HNRNPCL1,0.93713761,-0.003447425,0.175380407,0.866719588,NA,Not Significant
311,PRAMEF2,0.115915233,0.002484222,0.175785187,0.710607006,NA,Not Significant
312,PRAMEF4,0,NA,NA,NA,NA,Not Significant
313,PRAMEF10,0,NA,NA,NA,NA,Not Significant
314,PRAMEF7,0.0505391,-0.000307226,0.175776691,1,NA,Not Significant
315,PRAMEF6,0,NA,NA,NA,NA,Not Significant
316,PRAMEF18,0,NA,NA,NA,NA,Not Significant
317,PRAMEF13,0,NA,NA,NA,NA,Not Significant
318,PRAMEF9,0,NA,NA,NA,NA,Not Significant
319,HNRNPCL4,0,NA,NA,NA,NA,Not Significant
320,PRAMEF25,0,NA,NA,NA,NA,Not Significant
321,PRAMEF36P,0,NA,NA,NA,NA,Not Significant
322,HNRNPCL2,0.303588437,-0.000541457,0.175770712,1,NA,Not Significant
323,PRAMEF34P,0.049983058,-0.001600135,0.175775989,0.858244616,NA,Not Significant
324,LOC128966578,0,NA,NA,NA,NA,Not Significant
325,PRAMEF5,0,NA,NA,NA,NA,Not Significant
326,PRAMEF8,0.149674073,-0.002297385,0.175765866,0.857938865,NA,Not Significant
327,PRAMEF33,0,NA,NA,NA,NA,Not Significant
328,PRAMEF15,0,NA,NA,NA,NA,Not Significant
329,PRAMEF14,0.202237947,-0.002552108,0.175776622,0.760953319,NA,Not Significant
330,PRAMEF19,0,NA,NA,NA,NA,Not Significant
331,PRAMEF17,0,NA,NA,NA,NA,Not Significant
332,PRAMEF20,0.049983058,-0.001600135,0.175775989,0.858244616,NA,Not Significant
333,LRRC38,2.325652822,-0.013337507,0.175302631,0.517214024,NA,Not Significant
334,LOC102724856,0,NA,NA,NA,NA,Not Significant
335,LOC107984918,0,NA,NA,NA,NA,Not Significant
336,PDPN,637.07816,-0.164358908,0.132655023,0.093201679,0.297853583,Not Significant
337,LOC105378612,0,NA,NA,NA,NA,Not Significant
338,LOC105376756,0,NA,NA,NA,NA,Not Significant
339,LOC124900446,0,NA,NA,NA,NA,Not Significant
340,PRDM2,1445.791459,0.115588013,0.108889356,0.187451474,0.454760055,Not Significant
341,KAZN,989.016712,-0.089259006,0.111969154,0.309533221,0.605241864,Not Significant
342,LOC107985467,0.467274974,0.006215377,0.175892808,0.447827501,NA,Not Significant
343,LOC124905691,0,NA,NA,NA,NA,Not Significant
344,LOC124903847,0.100522159,-0.001573668,0.175778456,0.871612683,NA,Not Significant
345,KAZN-AS1,0.25628079,0.00320499,0.175765452,0.796843286,NA,Not Significant
346,LOC105376759,0,NA,NA,NA,NA,Not Significant
347,LOC124903848,0,NA,NA,NA,NA,Not Significant
348,LOC107985469,0.289654484,0.005346528,0.175860273,0.537294917,NA,Not Significant
